country_code	admin_level	area_type	remarks
MA	9	district
MC	10	district
MC	2	country
MC	8	city
MD	10	suburb
MD	2	country
MD	3	state
MD	4	state
MD	6	state
MD	7	province
MD	8	city
MD	9	city
ME	2	country
ME	6	state
ME	8	city
MF	3	country
MG	10	suburb
MG	2	country
MG	4	state
MG	6	province
MG	8	city
MG	9	district
MH	2	country
MK	10	suburb
MK	2	country
MK	4	region
MK	6	city
MK	7	city
MK	8	city
MK	9	suburb
ML	2	country
ML	4	state
ML	6	province
ML	8	city
MM	2	country
MM	4	state
MM	6	city
MM	7	province
MM	8	city
MN	2	country
MN	4	state
MO	3	country
MO	5	state
MO	6	province
MP	4	country
MP	6	province
MP	8	city
MQ	10	suburb
MQ	6	country
MQ	7	state
MQ	8	city
MR	2	country
MR	4	state
MS	2	country
MS	6	state
MT	2	country
MT	4	state
MT	8	city
MU	2	country
MU	3	region
MU	4	state
MU	5	state
MV	2	country
MV	4	state
MW	2	country
MW	3	region
MW	4	state
MX	10	district
MX	2	country
MX	4	state
MX	6	city
MX	8	city
MX	9	district
MY	10	city
MY	2	country
MY	4	state
MY	5	province
MY	6	province
MY	7	province
MY	8	province
MZ	2	country
MZ	4	state
MZ	8	city
MZ	9	district
NA	2	country
NA	3	city
NA	4	state
NA	5	city
NA	6	city
NC	10	suburb
NC	3	country
NC	6	state
NC	7	state
NC	8	city
NC	9	district
NE	2	country
NE	4	state
NE	6	province
NF	4	country
NG	2	country
NG	4	state
NG	6	province
NI	10	suburb
NI	2	country
NI	4	state
NI	6	province
NI	8	city
NI	9	district
NL	10	suburb
NL	11	suburb
NL	2	country
NL	3	country
NL	4	state
NL	6	province
NL	7	city
NL	8	city
NL	9	district
NO	2	country
NO	4	state
NO	7	city
NO	9	district
NP	10	suburb
NP	2	country
NP	4	state
NP	5	province
NP	6	province
NP	8	city
NP	9	district
NR	2	country
NU	2	country
NZ	2	country
NZ	4	state
NZ	6	province
NZ	8	district
OM	2	country
OM	4	state
OM	8	city
PA	2	country
PA	4	state
PA	5	city
PA	9	city
PE	10	suburb
PE	2	country
PE	4	state
PE	6	province
PE	8	city
PF	3	country
PF	7	state
PF	8	city
PG	2	country
PG	3	region
PG	4	state
PG	5	province
PG	6	province
PH	10	suburb
PH	2	country
PH	3	region
PH	4	state
PH	5	province
PH	6	city
PH	7	district
PH	8	district
PH	9	district
PK	2	country
PK	4	state
PL	10	city
PL	11	suburb
PL	2	country
PL	4	state
PL	6	province
PL	7	province
PL	8	city
PL	9	district
PM	3	country
PM	8	city
PN	2	country
PR	10	suburb
PR	4	country
PR	6	province
PR	8	city
PS	10	suburb
PS	2	country
PS	3	region
PS	4	state
PS	5	province
PS	8	city
PT	10	suburb
PT	2	country
PT	4	state
PT	5	province
PT	6	province
PT	7	city
PT	8	city
PT	9	district
